"Name","Team","FB%","GB%","IFFB%","LD%","Spd","Hard%","BABIP","playerid"
"Curt Casali","Reds","50.0 %","31.3 %","12.5 %","18.8 %","3.2","35.3 %",".467","12510"
"Jose Briceno","Angels","40.0 %","33.3 %","0.0 %","26.7 %","1.6","33.3 %",".385","13151"
"Mike Trout","Angels","43.1 %","30.8 %","8.3 %","26.2 %","6.9","46.7 %",".349","10155"
"Erik Kratz","Brewers","42.3 %","42.3 %","0.0 %","15.4 %","2.2","50.0 %",".304","4403"
"Mookie Betts","Red Sox","46.7 %","31.7 %","13.1 %","21.7 %","7.0","44.4 %",".327","13611"
"J.D. Martinez","Red Sox","32.3 %","46.4 %","1.6 %","21.4 %","3.2","50.5 %",".353","6184"
"Freddie Freeman","Braves","36.1 %","33.8 %","0.0 %","30.1 %","4.0","45.7 %",".373","5361"
"Jose Ramirez","Indians","43.7 %","35.1 %","10.9 %","21.2 %","4.6","37.1 %",".265","13510"
"Juan Soto","Nationals","30.0 %","46.7 %","0.0 %","23.3 %","3.8","41.7 %",".345","20123"
"Brandon Nimmo","Mets","44.6 %","33.9 %","16.0 %","21.4 %","7.3","43.0 %",".346","12927"
"Austin Romine","Yankees","31.6 %","42.1 %","11.1 %","26.3 %","1.3","36.8 %",".358","5491"
"Max Muncy","Dodgers","47.9 %","34.4 %","6.5 %","17.7 %","2.3","45.8 %",".277","13301"
"Aaron Judge","Yankees","37.7 %","44.0 %","6.7 %","18.2 %","2.9","48.4 %",".362","15640"
"Adam Eaton","Nationals","28.3 %","45.7 %","0.0 %","26.1 %","2.6","47.8 %",".341","11205"
"Elvis Andrus","Rangers","30.0 %","50.0 %","13.3 %","20.0 %","1.5","42.0 %",".313","8709"
"A.J. Pollock","Diamondbacks","38.6 %","40.4 %","9.1 %","21.1 %","7.4","45.6 %",".320","9256"
"Eugenio Suarez","Reds","40.2 %","36.6 %","6.1 %","23.2 %","2.0","48.8 %",".307","12552"
"Matt Kemp","Dodgers","38.0 %","36.1 %","3.2 %","25.9 %","1.2","47.0 %",".396","5631"
"Nolan Arenado","Rockies","35.2 %","37.2 %","15.9 %","27.6 %","4.2","40.8 %",".344","9777"
"Eric Thames","Brewers","48.1 %","33.3 %","11.5 %","18.5 %","4.6","50.0 %",".222","3711"
"Brandon Belt","Giants","48.6 %","21.9 %","2.8 %","29.5 %","4.1","43.9 %",".353","10264"
"Kevan Smith","White Sox","28.1 %","56.3 %","0.0 %","15.6 %","1.2","15.6 %",".469","12284"
"Eddie Rosario","Twins","45.5 %","31.5 %","13.9 %","23.0 %","5.3","39.7 %",".343","12155"
"Austin Meadows","Pirates","43.0 %","40.5 %","8.8 %","16.5 %","6.3","40.5 %",".338","15672"
"Matt Adams","Nationals","41.4 %","35.3 %","8.3 %","23.3 %","1.0","44.8 %",".282","9393"
"Dwight Smith Jr.","Blue Jays","30.8 %","57.7 %","0.0 %","11.5 %","1.8","23.1 %",".320","13473"
"Manny Machado","Orioles","48.9 %","33.9 %","13.5 %","17.2 %","2.1","34.8 %",".311","11493"
"Andrew Benintendi","Red Sox","39.5 %","37.3 %","5.7 %","23.2 %","7.7","25.5 %",".322","17901"
"Tyler Saladino","- - -","34.4 %","31.3 %","0.0 %","34.4 %","1.9","54.6 %",".379","10807"
"Eduardo Escobar","Twins","47.2 %","27.5 %","8.8 %","25.4 %","3.4","43.5 %",".354","6153"
"Jose Martinez","Cardinals","26.9 %","46.3 %","7.4 %","26.9 %","1.6","41.3 %",".340","7996"
"Alen Hanson","Giants","47.7 %","43.1 %","6.5 %","9.2 %","7.8","33.3 %",".311","12926"
"Daniel Descalso","Diamondbacks","48.4 %","30.2 %","11.5 %","21.4 %","4.0","44.4 %",".339","8392"
"Scooter Gennett","Reds","36.6 %","39.0 %","5.3 %","24.4 %","2.2","39.4 %",".387","10339"
"Shohei Ohtani","Angels","27.2 %","50.6 %","9.1 %","22.2 %","4.7","42.0 %",".360","19755"
"Jesus Aguilar","Brewers","46.3 %","28.7 %","4.8 %","25.0 %","1.6","44.1 %",".333","11342"
"J.T. Realmuto","Marlins","34.2 %","42.2 %","14.5 %","23.6 %","5.0","42.9 %",".336","11739"
"Lonnie Chisenhall","Indians","39.5 %","32.6 %","0.0 %","27.9 %","6.6","38.6 %",".409","7571"
"Joey Votto","Reds","28.1 %","37.6 %","0.0 %","34.3 %","3.2","40.0 %",".343","4314"
"Francisco Lindor","Indians","36.8 %","39.4 %","5.9 %","23.8 %","4.7","41.9 %",".315","12916"
