"Season","Name","playerid","Team","G","PA","AB","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","BB/K","AVG1","OBP","SLG","OPS","ISO","BABIP","w RC","w RAA","w OBA","wRC+","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%"
"2018","Victor Martinez","393","DET","58","146","145","39","33","6","0","0","0","9","0","0","0","0","1","0","5","0","0","0.268965517","0.000000000","0.000000000","0.000000000","0.268965517","0.267123287","0.310344827","0.577468114","0.041379310","0.267123287","9.26636965759931","-7.436030251897","0.250024245618141","52.4359007080015","1.156862745","0.246575342","0.404109589","0.349315068","0.078431372","0.000000000","0.016949152","0.000000000","0.4110","0.3630","0.2260","0.1438","0.4384","0.4178"
"2018","Adrian Beltre","639","TEX","14","20","19","7","7","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0.368421052","0.000000000","0.000000000","0.000000000","0.368421052","0.350000000","0.368421052","0.718421052","0.000000000","0.350000000","2.19902222603855","-0.0889777615636887","0.307590338587761","89.3700108949048","1.600000000","0.350000000","0.400000000","0.250000000","0.000000000","0.000000000","0.000000000","0.000000000","0.3500","0.4000","0.2500","0.1000","0.5500","0.3500"
"2018","Todd Frazier","785","NYM","32","65","64","17","11","6","0","0","0","7","0","0","0","0","1","0","1","0","0","0.265625000","0.000000000","0.000000000","0.000000000","0.265625000","0.261538461","0.359375000","0.620913461","0.093750000","0.261538461","4.86646403293248","-2.56953592677478","0.264142923171704","67.3922254419","1.000000000","0.261538461","0.369230769","0.369230769","0.166666666","0.000000000","0.041666666","0.000000000","0.4462","0.3692","0.1846","0.1692","0.4154","0.4154"
"2018","Albert Pujols","1177","LAA","54","120","120","27","22","5","0","0","0","8","0","0","0","0","0","0","1","0","0","0.225000000","0.000000000","0.000000000","0.000000000","0.225000000","0.225000000","0.266666666","0.491666666","0.041666666","0.225000000","4.04972116884046","-9.67827875677294","0.213217117389043","32.0481137551292","1.190476190","0.233333333","0.416666666","0.350000000","0.214285714","0.000000000","0.060000000","0.000000000","0.4250","0.3833","0.1917","0.1917","0.4250","0.3833"
"2018","Wilson Ramos","1433","TBR","14","23","23","9","8","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0.391304347","0.000000000","0.000000000","0.000000000","0.391304347","0.391304347","0.434782608","0.826086955","0.043478261","0.391304347","3.50302160177604","0.871821616033467","0.360043354656385","132.667343529261","3.500000000","0.217391304","0.608695652","0.173913043","0.250000000","0.000000000","0.000000000","0.000000000","0.6087","0.1739","0.2174","0.1304","0.4783","0.3913"
"2018","Chase Utley","1679","LAD","27","51","50","12","8","4","0","0","0","5","0","0","0","0","1","0","0","0","0","0.240000000","0.000000000","0.000000000","0.000000000","0.240000000","0.235294117","0.320000000","0.555294117","0.080000000","0.235294117","2.65618582465165","-3.17821414373405","0.235923131306966","47.9020552151942","1.222222222","0.200000000","0.440000000","0.360000000","0.055555555","0.000000000","0.045454545","0.000000000","0.3333","0.4314","0.2353","0.2353","0.5098","0.2549"
"2018","Miguel Cabrera","1744","DET","10","14","14","5","5","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0.357142857","0.000000000","0.000000000","0.000000000","0.357142857","0.357142857","0.357142857","0.714285714","0.000000000","0.357142857","1.61027830453862","0.00867831321706061","0.313867692436491","96.4651487041203","3.000000000","0.142857142","0.642857142","0.214285714","0.000000000","0.000000000","0.000000000","0.000000000","0.1429","0.5714","0.2857","0.0714","0.4286","0.5000"
"2018","Joe Mauer","1857","MIN","23","47","46","18","14","4","0","0","0","2","0","0","0","0","0","1","0","0","0","0.391304347","0.000000000","0.000000000","0.000000000","0.391304347","0.391304347","0.478260869","0.869565216","0.086956522","0.391304347","7.77139187049633","2.39459189963108","0.376196889773659","138.978308404323","2.777777777","0.260869565","0.543478260","0.195652173","0.000000000","0.000000000","0.000000000","0.000000000","0.2979","0.3617","0.3404","0.2340","0.4468","0.3191"
"2018","Jose Bautista","1887","2 Tms","15","23","23","6","3","3","0","0","0","2","0","0","0","0","0","0","0","0","0","0.260869565","0.000000000","0.000000000","0.000000000","0.260869565","0.260869565","0.391304347","0.652173912","0.130434782","0.260869565","1.97413911616898","-0.657060869573588","0.277720485044562","74.2703023061398","0.727272727","0.173913043","0.347826086","0.478260869","0.181818181","0.000000000","0.000000000","0.000000000","0.4348","0.4348","0.1304","0.1304","0.4783","0.3913"
"2018","Adrian Gonzalez","1908","NYM","43","92","92","19","17","2","0","0","0","4","0","0","0","0","0","0","3","0","0","0.206521739","0.000000000","0.000000000","0.000000000","0.206521739","0.206521739","0.228260869","0.434782608","0.021739130","0.206521739","1.34841963038274","-9.17638031258753","0.18957417231539","16.9851357855169","1.840000000","0.219780219","0.505494505","0.274725274","0.040000000","0.000000000","0.000000000","1.000000000","0.4022","0.3587","0.2391","0.1522","0.5435","0.3043"
